time,Voltage (V)
1574183269.5695379,2.7886128
1574183270.936602,2.7885081
1574183272.3018072,2.7883932
1574183273.668067,2.7882897
1574183275.0343473,2.7881799
1574183276.3992279,2.7880714
1574183277.775283,2.7879691
1574183279.1423824,2.7878606
1574183280.5079708,2.7877596
1574183281.872436,2.7876548
1574183283.2420392,2.7875513
1574183284.6085138,2.7874541
1574183285.9744883,2.7873595
1574183287.3400278,2.7872484
1574183288.705029,2.7871373
1574183290.0725398,2.7870603
1574183291.438661,2.7869404
1574183292.805631,2.7868533
1574183294.1725922,2.7867347
1574183295.5381494,2.7866236
1574183296.905086,2.7865315
1574183298.2698433,2.7864267
1574183299.6376207,2.7863371
1574183301.0049462,2.7862361
1574183302.3710833,2.7861453
1574183303.7396119,2.7860367
1574183305.1087177,2.7859294
1574183306.4750288,2.785812
1574183307.8408792,2.7857073
1574183309.2071097,2.7856189
1574183310.5741513,2.7855066
1574183311.940786,2.7854081
1574183313.309015,2.785292
1574183314.6758366,2.7852087
1574183316.0418406,2.7851191
1574183317.40906,2.7850143
1574183318.7749662,2.7849235
1574183320.1421375,2.7848187
1574183321.5089877,2.7847278
1574183322.9080307,2.7846407
1574183324.2743118,2.7845196
1574183325.641936,2.7844362
1574183327.0110269,2.7843555
1574183328.3781962,2.7842419
1574183329.7450886,2.7841636
1574183331.1102934,2.7840551
1574183332.4766436,2.7839692
1574183333.84414,2.7838708
1574183335.2114868,2.7837862
1574183336.5771806,2.7836966
1574183337.944543,2.7836045
1574183339.3116472,2.7835136
1574183340.6792247,2.783424
1574183342.0463936,2.7833419
1574183343.4139738,2.7832435
1574183344.7837167,2.7831614
1574183346.1514359,2.7830693
1574183347.5202472,2.7829847
1574183348.9021878,2.78288
1574183350.2704906,2.7827941
1574183351.6372268,2.782702
1574183353.0044231,2.7826023
1574183354.372042,2.7825064
1574183355.7394717,2.782418
1574183357.1069572,2.7823322
1574183358.4729917,2.7822388
1574183359.8403282,2.7821428
1574183361.208435,2.7820545
1574183362.5754046,2.7819624
1574183363.9783938,2.7818702
1574183365.356107,2.7817806
1574183366.725366,2.7816973
1574183368.0912716,2.7816064
1574183369.456467,2.7815067
1574183370.8225138,2.7814234
1574183372.1907363,2.781335
1574183373.5584881,2.7812606
1574183374.9256604,2.7811684
1574183376.2915215,2.7810902
1574183377.6594987,2.7810094
1574183379.027305,2.7809185
1574183380.3947074,2.7808365
1574183381.7634115,2.7807506
1574183383.1307096,2.7806572
1574183384.4978678,2.7805714
1574183385.8732028,2.7805045
1574183387.2403078,2.7804212
1574183388.618908,2.7803316
1574183389.9856012,2.7802685
1574183391.3535185,2.7801864
1574183392.7208867,2.7800754
1574183394.0878816,2.7799895
1574183395.453742,2.7799012
1574183396.8212311,2.7798267
1574183398.1879487,2.7797523
1574183399.5556293,2.779679
1574183400.9228818,2.7796046
1574183402.290503,2.7795175
1574183403.6570735,2.7794367
1574183405.0230613,2.7793534
1574183406.3891945,2.779289
1574183407.7561593,2.7792133
1574183409.1245885,2.7791313
1574183410.4919884,2.7790505
1574183411.8579056,2.7789912
1574183413.2383537,2.778923
1574183414.605985,2.7788384
1574183415.9810357,2.7787602
1574183417.3479552,2.7786756
1574183418.7132776,2.7786049
1574183420.079013,2.7785368
1574183421.445684,2.778456
1574183422.8135211,2.7784017
1574183424.1811683,2.7783197
1574183425.548143,2.7782389
1574183426.9152899,2.7781619
1574183428.2822797,2.7780786
1574183429.64984,2.7779978
1574183431.0154076,2.7779221
1574183432.3811798,2.7778451
1574183433.7493532,2.7777858
1574183435.1166766,2.7777176
1574183436.4834707,2.7776292
1574183437.8503177,2.7775573
1574183439.2157218,2.7774891
1574183440.583301,2.7774033
1574183441.9513822,2.7773187
1574183443.3187985,2.7772468
1574183444.6845503,2.7771685
1574183446.050122,2.7770852
1574183447.4162912,2.7770183
1574183448.7838213,2.7769464
1574183450.1503482,2.7768681
1574183451.5165167,2.7768101
1574183452.890953,2.7767508
1574183454.2568727,2.7766649
1574183455.6235776,2.7765955
1574183456.991607,2.7765173
1574183458.3577907,2.7764529
1574183459.7254093,2.7763809
1574183461.0910985,2.7763317
1574183462.4575531,2.7762699
1574183463.8247542,2.7762042
1574183465.192261,2.7761361
1574183466.5602305,2.7760591
1574183467.927737,2.7759998
1574183469.2939038,2.7759354
1574183470.6606884,2.7758799
1574183472.0283058,2.7758029
1574183473.394514,2.7757385
1574183474.7607453,2.7756766
1574183476.1282594,2.7756224
1574183477.4931827,2.7755504
1574183478.860117,2.7754835
1574183480.225652,2.7754141
1574183481.592671,2.7753396
1574183482.961077,2.7752652
1574183484.3287425,2.7752021
1574183485.6955392,2.7751301
1574183487.0629284,2.7750594
1574183488.4284916,2.7749913
1574183489.7968016,2.7749345
1574183491.163829,2.7748726
1574183492.5309174,2.7748057
1574183493.898106,2.7747578
1574183495.26523,2.7746947
1574183496.6313891,2.7746139
1574183497.999909,2.7745508
1574183499.3660364,2.77447
1574183500.7349603,2.7744157
1574183502.1007993,2.774345
1574183503.4682558,2.7742819
1574183504.8352814,2.7742201
1574183506.2037754,2.774162
1574183507.5712552,2.7740989
1574183508.9371684,2.7740421
1574183510.3043392,2.77395
1574183511.6797543,2.7738894
1574183513.0540662,2.77382
1574183514.4216175,2.7737632
1574183515.7901719,2.7736925
1574183517.1583564,2.7736142
1574183518.5261514,2.7735612
1574183519.8941655,2.7734956
1574183521.2616138,2.7734577
1574183522.629161,2.7733984
1574183523.9963868,2.7733353
1574183525.3617733,2.7732482
1574183526.7302275,2.7732116
1574183528.1053503,2.7731548
1574183529.4710712,2.7730816
1574183530.839353,2.7730235
1574183532.2063096,2.772949
1574183533.574393,2.7728998
1574183534.9397066,2.7728556
1574183536.3054285,2.7728064
1574183537.6723635,2.7727433
1574183539.0386243,2.7726903
1574183540.403744,2.772636
1574183541.7716126,2.7725716
1574183543.1387117,2.7725123
1574183544.5051796,2.7724593
1574183545.8725164,2.7724088
1574183547.238772,2.7723583
1574183548.6037428,2.7723078
1574183549.970651,2.7722574
1574183551.336329,2.7722119
1574183552.7045844,2.7721614
1574183554.0720615,2.7721198
1574183555.438835,2.7720466
1574183556.8058379,2.7720037
1574183558.1741693,2.7719443
1574183559.5409684,2.7718938
1574183560.908257,2.7718383
1574183562.273948,2.7717903
1574183563.6411996,2.7717411
1574183565.0084364,2.7716843
1574183566.3749042,2.77162
1574183567.7428136,2.771596
1574183569.1110315,2.7715404
1574183570.477059,2.7714836
1574183571.8445938,2.7714382
1574183573.2140644,2.7713675
1574183574.5808485,2.7713196
1574183575.9481091,2.771264
