time,Voltage (V),Current (A)
1574280264.7617517,3.1305401,0.151
1574280266.1488652,3.1305123,0.15
1574280267.5455205,3.1304706,0.15
1574280268.923261,3.1304315,0.15
1574280270.3458207,3.1303798,0.15
1574280271.7336726,3.1303532,0.151
1574280273.1361053,3.1303343,0.151
1574280274.5277586,3.130328,0.15
1574280275.9150672,3.1302939,0.15
1574280277.3047674,3.1302548,0.151
1574280278.7148957,3.1302535,0.15
1574280280.11043,3.130203,0.151
1574280281.4948988,3.1301601,0.151
1574280282.8884332,3.1301538,0.151
1574280284.292914,3.1301311,0.151
1574280285.6755118,3.1301008,0.15
1574280287.0909643,3.1300566,0.15
1574280288.4787753,3.1300251,0.151
1574280289.8658252,3.1299834,0.15
1574280291.253893,3.1299645,0.15
1574280292.6553166,3.1299632,0.151
1574280294.0425434,3.1299557,0.151
1574280295.4548912,3.1298989,0.15
1574280296.8322828,3.1298547,0.15
1574280298.2464519,3.1298421,0.151
1574280299.6251767,3.1298042,0.151
1574280301.0261223,3.1297701,0.151
1574280302.4032443,3.1297562,0.15
1574280303.8224006,3.1297045,0.15
1574280305.206539,3.129683,0.151
1574280306.6214108,3.1296351,0.15
1574280308.0113993,3.1296073,0.151
1574280309.3976312,3.1295833,0.151
1574280310.7919219,3.1295316,0.15
1574280312.196776,3.1295088,0.15
1574280313.5972981,3.1294886,0.151
1574280314.977938,3.1294685,0.151
1574280316.3561842,3.1294445,0.151
1574280317.768001,3.1294344,0.151
1574280319.158757,3.1294066,0.151
1574280320.5764165,3.1293574,0.151
1574280321.9644856,3.129341,0.15
1574280323.3598251,3.1292917,0.151
1574280324.7510273,3.1292917,0.151
1574280326.1583946,3.1292463,0.15
1574280327.5457826,3.1292211,0.151
1574280328.9418974,3.1292034,0.151
1574280330.3186858,3.1291668,0.15
1574280331.7303195,3.1291289,0.15
1574280333.1176448,3.1290986,0.15
1574280334.5174491,3.1290772,0.151
1574280335.8953345,3.1290923,0.151
1574280337.3124187,3.1290557,0.15
1574280338.7004917,3.1290178,0.15
1574280340.1044796,3.1289648,0.151
1574280341.494252,3.1289345,0.151
1574280342.8837411,3.1288853,0.151
1574280344.2767336,3.1288992,0.151
1574280345.669915,3.1288727,0.15
1574280347.061895,3.1288538,0.151
1574280348.4740627,3.1288083,0.15
1574280349.8521895,3.1288222,0.151
1574280351.2496383,3.1287717,0.151
1574280352.625988,3.1287301,0.15
1574280354.0517442,3.1287111,0.15
1574280355.433038,3.1286758,0.151
1574280356.84251,3.128643,0.15
1574280358.2287934,3.1286228,0.151
1574280359.6205943,3.1285824,0.151
1574280360.998137,3.1285887,0.15
1574280362.4190078,3.1285571,0.151
1574280363.8153787,3.1285205,0.15
1574280365.210695,3.128542,0.15
1574280366.5875506,3.1285306,0.151
1574280368.0024056,3.1284738,0.151
1574280369.39135,3.1284814,0.15
1574280370.7947447,3.1284284,0.151
1574280372.1841683,3.1284107,0.15
1574280373.572226,3.1283577,0.15
1574280374.9622078,3.1283388,0.15
1574280376.3728049,3.1282908,0.151
1574280377.750291,3.128282,0.15
1574280379.1530063,3.1282845,0.151
1574280380.5394728,3.1282416,0.15
1574280381.9434571,3.1282138,0.151
1574280383.3254528,3.1281987,0.15
1574280384.737887,3.1281583,0.15
1574280386.1216824,3.1281394,0.15
1574280387.522599,3.128152,0.151
1574280388.9104273,3.1281154,0.151
1574280390.3120515,3.1280662,0.15
1574280391.6889892,3.1280447,0.15
1574280393.1173406,3.1279929,0.15
1574280394.5038767,3.127974,0.151
1574280395.8956213,3.1279664,0.15
1574280397.272175,3.1279071,0.15
1574280398.6991134,3.1278983,0.15
1574280400.0765347,3.127873,0.15
1574280401.4741719,3.1278528,0.15
1574280402.8568988,3.1278453,0.151
1574280404.2786484,3.1278162,0.151
1574280405.68281,3.1277948,0.15
1574280407.0683975,3.1277493,0.15
1574280408.4545984,3.1277481,0.151
1574280409.8466988,3.1277077,0.15
1574280411.2392838,3.1276951,0.15
1574280412.6347117,3.1276736,0.151
1574280414.0130668,3.1276585,0.15
1574280415.425573,3.1276509,0.15
1574280416.8030431,3.1276471,0.151
1574280418.2138634,3.1276042,0.151
1574280419.5994654,3.1275865,0.15
1574280421.018123,3.1275638,0.151
1574280422.405684,3.1275487,0.151
1574280423.8052382,3.1275133,0.15
1574280425.1949215,3.127502,0.15
1574280426.59508,3.1274616,0.151
1574280427.9875367,3.1274187,0.15
1574280429.392341,3.1273947,0.151
1574280430.7809868,3.1273871,0.15
1574280432.174341,3.1273783,0.15
1574280433.5678315,3.1273934,0.15
1574280434.9567835,3.1273593,0.15
1574280436.3525379,3.1273152,0.15
1574280437.74586,3.127295,0.151
1574280439.1234982,3.1272508,0.15
1574280440.533077,3.1272419,0.15
1574280441.9099607,3.1271978,0.15
1574280443.3376925,3.1271915,0.15
1574280444.7308934,3.1271612,0.15
1574280446.1218042,3.1271347,0.15
1574280447.4997144,3.1271309,0.151
1574280448.9079938,3.1271119,0.151
1574280450.2864022,3.1270842,0.15
1574280451.6972177,3.1270955,0.15
1574280453.0862,3.1270804,0.15
1574280454.4963658,3.1270337,0.151
1574280455.8751895,3.1270362,0.151
1574280457.2867043,3.1270211,0.151
1574280458.6651232,3.1269882,0.151
1574280460.0683446,3.1269327,0.151
1574280461.4510126,3.1269163,0.15
1574280462.8592527,3.126915,0.151
1574280464.237037,3.1268784,0.151
1574280465.6487126,3.1268532,0.15
1574280467.055686,3.1268191,0.151
1574280468.4566553,3.1268292,0.151
1574280469.8453033,3.1267876,0.151
1574280471.2397952,3.1267686,0.151
1574280472.6158867,3.1267472,0.151
1574280474.0345192,3.1267535,0.151
1574280475.4131963,3.1267282,0.151
1574280476.8218212,3.1266967,0.151
1574280478.2048442,3.1266828,0.15
1574280479.6005878,3.1266601,0.151
1574280480.977557,3.1266449,0.15
1574280482.392613,3.1266323,0.15
1574280483.7792776,3.1265982,0.15
1574280485.179405,3.1265477,0.151
1574280486.5704584,3.1265591,0.15
1574280487.9696112,3.1265238,0.15
1574280489.3615324,3.126525,0.151
1574280490.7749307,3.1265275,0.15
1574280492.1611912,3.1264922,0.15
1574280493.5509486,3.1264808,0.151
1574280494.9432719,3.1264417,0.151
1574280496.3557982,3.1264026,0.151
1574280497.7399452,3.1263874,0.15
1574280499.1332576,3.1263887,0.151
1574280500.5207322,3.1263546,0.15
